state,district,incumbent,first_name,last_name,name,party,result
AL,01,1,Jo,Bonner,"Bonner, Jo",R,0.9785624589
AL,02,1,Martha,Roby,"Roby, Martha",R,0.6359890545
AL,03,1,Mike,Rogers,"Rogers, Mike",R,0.6399664148
AL,04,1,Robert,Aderholt,"Aderholt, Robert",R,0.7397164069
AL,05,1,Mo,Brooks,"Brooks, Mo",R,0.6494663449
AL,06,1,Spencer,Bachus,"Bachus, Spencer",R,0.7116539328
AL,07,1,Terri A.,Sewell,"Sewell, Terri A.",D,0.7584861592
AK,00,1,Don,Young,"Young, Don",R,0.6393838594
AS,00,1,Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",D,0.5522330988
AZ,01,0,Ann,Kirkpatrick,"Kirkpatrick, Ann",D,0.4879826706
AZ,02,1,Ron ,Barber,"Barber, Ron ",D,0.5041005341
AZ,03,1,Raúl M.,Grijalva,"Grijalva, Raúl M.",D,0.5836939383
AZ,04,1,Raul,Gosar,"Gosar, Raul",R,0.6683089925
AZ,05,0,Matt,Salmon,"Salmon, Matt",R,0.6719060716
AZ,06,1,David,Schweikert,"Schweikert, David",R,0.6129607711
AZ,07,1,Ed,Pastor,"Pastor, Ed",D,0.8174251136
AZ,08,1,Trent ,Franks,"Franks, Trent ",R,0.6334849757
AZ,09,0,Kyrsten,Sinema,"Sinema, Kyrsten",D,0.4873
AR,01,1,Rick ,Crawford,"Crawford, Rick ",R,0.5623007337
AR,02,1,Tim ,Griffin,"Griffin, Tim ",R,0.5519054564
AR,03,1,Steve,Womack,"Womack, Steve",R,0.7590450216
AR,04,0,Tom,Cotton,"Cotton, Tom",R,0.5952779076
CA,01,0,Doug,La Malfa,"La Malfa, Doug",R,0.5738257657
CA,02,0,Jared ,Huffman,"Huffman, Jared ",D,0.7124329976
CA,03,1,John ,Garamendi,"Garamendi, John ",D,0.5423049306
CA,04,1,Tom,McClintock,"McClintock, Tom",R,0.6110915449
CA,05,1,Mike ,Thompson,"Thompson, Mike ",D,0.7447112331
CA,06,1,Doris ,Matsui,"Matsui, Doris ",D,0.7505243538
CA,07,0,Ami ,Bera,"Bera, Ami ",D,0.5168154092
CA,08,0,Paul ,Cook,"Cook, Paul ",R,0.5738738839
CA,09,1,Jerry ,McNerney,"McNerney, Jerry ",D,0.5555409547
CA,10,1,Jeff,Denham,"Denham, Jeff",R,0.5270818694
CA,11,1,George ,Miller,"Miller, George ",D,0.6973172757
CA,12,1,Nancy ,Pelosi,"Pelosi, Nancy ",D,0.8508385677
CA,13,1,Barbara ,Lee,"Lee, Barbara ",D,0.8678157335
CA,14,1,Jackie ,Speier,"Speier, Jackie ",D,0.7891653729
CA,15,0,Eric,Swalwell,"Swalwell, Eric",D,0.5210834769
CA,16,1,Jim,Costa,"Costa, Jim",D,0.5740861309
CA,17,1,Mike ,Honda,"Honda, Mike ",D,0.7354471965
CA,18,1,Anna G.,Eshoo,"Eshoo, Anna G.",D,0.7048924599
CA,19,1,Zoe ,Lofgren,"Lofgren, Zoe ",D,0.7323577588
CA,20,1,Sam,Farr,"Farr, Sam",D,0.7406855567
CA,21,0,David G.,Valadao,"Valadao, David G.",R,0.5775908774
CA,22,1,Devin G.,Nunes,"Nunes, Devin G.",R,0.6187967711
CA,23,1,Kevin ,McCarthy,"McCarthy, Kevin ",R,0.7322166822
CA,24,1,Lois,Capps,"Capps, Lois",D,0.5509727763
CA,25,1,"Howard P. ""Buck""",McKeon,"McKeon, Howard P. ""Buck""",R,0.5477882278
CA,26,0,Julia ,Brownley,"Brownley, Julia ",D,0.5269176123
CA,27,1,Judy ,Chu,"Chu, Judy ",D,0.6397754431
CA,28,1,Adam,Schiff,"Schiff, Adam",D,0.7648746914
CA,29,0,Tony ,Cárdenas,"Cárdenas, Tony ",D,0.7405260811
CA,30,1,Brad,Sherman,"Sherman, Brad",D,0.6030074521
CA,31,1,Gary G. ,Miller,"Miller, Gary G. ",R,0.5518208152
CA,32,1,Grace F.,Napolitano,"Napolitano, Grace F.",D,0.657000384
CA,33,1,Henry A. ,Waxman,"Waxman, Henry A. ",D,0.5395579555
CA,34,1,Xavier ,Becerra,"Becerra, Xavier ",D,0.8561561989
CA,35,0,Gloria Negrete,McLeod,"McLeod, Gloria Negrete",D,0.5585786375
CA,36,0,Raul ,Ruiz,"Ruiz, Raul ",D,0.5293933949
CA,37,1,Karen R.,Bass,"Bass, Karen R.",D,0.8641748059
CA,38,1,Linda T.,Sánchez,"Sánchez, Linda T.",D,0.6754476096
CA,39,1,Ed ,Royce,"Royce, Ed ",R,0.5778812305
CA,40,1,Lucille ,Roybal-Allard,"Roybal-Allard, Lucille ",D,0.5889146416
CA,41,0,Mark,Takano,"Takano, Mark",D,0.5896773165
CA,42,1,Ken,Calvert,"Calvert, Ken",R,0.6059400689
CA,43,1,Maxine,Waters,"Waters, Maxine",D,0.712430436
CA,44,1,Janice,Hahn,"Hahn, Janice",D,0.6022314916
CA,45,1,John ,Campbell,"Campbell, John ",R,0.5845800751
CA,46,1,Loretta ,Sanchez,"Sanchez, Loretta ",D,0.6387477889
CA,47,0,Alan ,Lowenthal,"Lowenthal, Alan ",D,0.56559223
CA,48,1,Dana,Rohrabacher,"Rohrabacher, Dana",R,0.609785819
CA,49,1,Darrell,Issa,"Issa, Darrell",R,0.5816261134
CA,50,1,Duncan D. ,Hunter,"Hunter, Duncan D. ",R,0.6768979415
CA,51,0,Juan,Vargas,"Vargas, Juan",D,0.7147768479
CA,52,0,Scott,Peters,"Peters, Scott",D,0.511814403
CA,53,1,Susan A.,Davis,"Davis, Susan A.",D,0.6143149452
CO,01,1,Diana,DeGette,"DeGette, Diana",D,0.6822512836
CO,02,1,Jared,Polis,"Polis, Jared",D,0.5568527919
CO,03,1,Scott R.,Tipton,"Tipton, Scott R.",R,0.5330979878
CO,04,1,Cory,Gardner,"Gardner, Cory",R,0.5842388764
CO,05,1,Doug,Lamborn,"Lamborn, Doug",R,0.6497882742
CO,06,1,Mike,Coffman,"Coffman, Mike",R,0.4780732195
CO,07,1,Ed,Perlmutter,"Perlmutter, Ed",D,0.5351203918
CT,01,1,John B.,Larson,"Larson, John B.",D*,0.6967356873
CT,02,1,Joe ,Courtney,"Courtney, Joe ",D*,0.6824509935
CT,03,1,Rosa L.,DeLauro,"DeLauro, Rosa L.",D*,0.7469009718
CT,04 ,1,Jim,Himes,"Himes, Jim",D*,0.5995562856
CT,05,0,Elizabeth,Esty,"Esty, Elizabeth",WF,0.5130620143
DE,00,1,"John C., Jr.",Carney,"Carney, John C., Jr.",D,0.6440592796
DC,00,1,Eleanor H.,Norton,"Norton, Eleanor H.",D,0.8854873045
FL,01,1,Jeff,Miller,"Miller, Jeff",R,0.6959841678
FL,02,1,Steve,Southerland,"Southerland, Steve",R,0.5269598883
FL,03,0,Ted,Yoho,"Yoho, Ted",R,0.6472951098
FL,04,1,Ander,Crenshaw,"Crenshaw, Ander",R,0.7607316068
FL, 05,1,Corrine ,Brown,"Brown, Corrine ",D,0.7076718446
FL,06,0,Ron,Desantis,"Desantis, Ron",R,0.5722336918
FL,07,1,John ,Mica,"Mica, John ",R,0.5870637005
FL,08,1,Bill ,Posey,"Posey, Bill ",R,0.5887838949
FL,09,0,Alan ,Grayson,"Grayson, Alan ",D,0.625186258
FL,10,1,Daniel ,Webster,"Webster, Daniel ",R,0.5173265382
FL,11,1,"Richard B. ""Rich""",Nugent,"Nugent, Richard B. ""Rich""",R,0.6447707603
FL,12,1,Gus Michael,Bilirakis,"Bilirakis, Gus Michael",R,0.6348423677
FL,13,1,C.W . Bill,Young,"Young, C.W . Bill",R,0.5756997938
FL,14,1,Kathy ,Castor,"Castor, Kathy ",D,0.7024957146
FL,15,1,Dennis,Ross,"Ross, Dennis",R,1
FL,16,1,Vern,Buchanan,"Buchanan, Vern",R,0.5361210739
FL,17,1,Tom,Rooney,"Rooney, Tom",R,0.5862838599
FL,18,0,Patrick ,Murphy,"Murphy, Patrick ",D,0.502795881
FL,19,0,Trey,Radel,"Radel, Trey",R,0.6199316822
FL,20,1,Alcee L.,Hastings,"Hastings, Alcee L.",D,0.8790019854
FL,21,1,Ted ,Deutch,"Deutch, Ted ",D,0.7779992968
FL,22,0,Lois ,Frankel,"Frankel, Lois ",D,0.5462690572
FL,23,1,Debbie,Wasserman Schultz,"Wasserman Schultz, Debbie",D,0.6324837527
