state,district,incumbent,first_name,last_name,name,party,result
AL,01,1,Jo,Bonner,"Bonner, Jo",REP,0.8258393535
AL,02,0,Martha,Roby,"Roby, Martha",REP,0.5097293497
AL,03,1,Mike,Rogers,"Rogers, Mike",REP,0.5942091158
AL,04,1,Robert,Aderholt,"Aderholt, Robert",REP,0.9881747103
AL,05,0,Mo,Brooks,"Brooks, Mo",REP,0.5788732394
AL,06,1,Spencer,Bachus,"Bachus, Spencer",REP,0.9805315145
AL,07,0,Terri A.,Sewell,"Sewell, Terri A.",DEM,0.724316992
AK,00,1,Don,Young,"Young, Don",REP,0.6895787053
AS,00,1,Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",DEM,0.5640510949
AZ,01,0,Paul,Gosar,"Gosar, Paul",REP,0.4971663773
AZ,02,1,Trent,Franks,"Franks, Trent",REP,0.6488456091
AZ,03,0,Ben,Quayle,"Quayle, Ben",REP,0.522364962
AZ,04,1,Ed,Pastor,"Pastor, Ed",DEM,0.6694158225
AZ,05,0,David,Schweikert,"Schweikert, David",REP,0.5200188457
AZ,06,1,Jeff,Flake,"Flake, Jeff",REP,0.6642353328
AZ,07,1,Raúl M.,Grijalva,"Grijalva, Raúl M.",DEM,0.5022809531
AZ,08,1,Gabrielle,Giffords,"Giffords, Gabrielle",DEM,0.4876259794
AR,01,0,Rick,Crawford,"Crawford, Rick",REP,0.5178650787
AR,02,0,Tim,Griffin,"Griffin, Tim",REP,0.5790364806
AR,03,0,Steve,Womack,"Womack, Steve",REP,0.7243507554
AR,04,1,Mike,Ross,"Ross, Mike",DEM,0.5752916344
CA,01,1,Mike,Thompson,"Thompson, Mike",DEM,0.6279284886
CA,02,1,Wally ,Herger,"Herger, Wally ",REP,0.5714903468
CA,03,1,Dan,Lungren,"Lungren, Dan",REP,0.5007635395
CA,04,1,Tom ,McClintock,"McClintock, Tom ",REP,0.612686496
CA,05,1,Doris,Matsui,"Matsui, Doris",DEM,0.7204918508
CA,06,1,Lynn C.,Woolsey,"Woolsey, Lynn C.",DEM,0.6594473716
CA,07,1,George ,Miller,"Miller, George ",DEM,0.6825437636
CA,08,1,Nancy,Pelosi,"Pelosi, Nancy",DEM,0.800725605
CA,09,1,Barbara,Lee,"Lee, Barbara",DEM,0.8426559544
CA,10,1,John,Garamendi,"Garamendi, John",DEM,0.588428013
CA,11,1,Jerry,McNerney,"McNerney, Jerry",DEM,0.4796655343
CA,12,1,Jackie ,Speier,"Speier, Jackie ",DEM,0.7558286356
CA,13,1,Fortney Pete,Stark,"Stark, Fortney Pete",DEM,0.7195488447
CA,14,1,Anna G.,Eshoo,"Eshoo, Anna G.",DEM,0.6909018637
CA,15,1,Mike,Honda,"Honda, Mike",DEM,0.6759746001
CA,16,1,Zoe,Lofgren,"Lofgren, Zoe",DEM,0.6782157916
CA,17,1,Sam,Farr,"Farr, Sam",DEM,0.6665244556
CA,18,1,Dennis,Cardoza,"Cardoza, Dennis",DEM,0.5848405301
CA,19,0,Jeff,Denham,"Denham, Jeff",REP,0.6455138712
CA,20,1,Jim,Costa,"Costa, Jim",DEM,0.5170497742
CA,21,1,Devin G.,Nunes,"Nunes, Devin G.",REP,1
CA,22,1,Kevin,McCarthy,"McCarthy, Kevin",REP,0.9876297228
CA,23,1,Lois,Capps,"Capps, Lois",DEM,0.5777228721
CA,24,1,Elton,Gallegly,"Gallegly, Elton",REP,0.5993950086
CA,25,1,"Howard P. ""Buck""",McKeon,"McKeon, Howard P. ""Buck""",REP,0.618325877
CA,26,1,David,Dreier,"Dreier, David",REP,0.5412796921
CA,27,1,Brad,Sherman,"Sherman, Brad",DEM,0.6515068077
CA,28,1,Howard L. ,Berman,"Berman, Howard L. ",DEM,0.6953590282
CA,29,1,Adam B.,Schiff,"Schiff, Adam B.",DEM,0.647778757
CA,30,1,Henry A.,Waxman,"Waxman, Henry A.",DEM,0.6463299221
CA,31,1,Xavier,Becerra,"Becerra, Xavier",DEM,0.8381775075
CA,32,1,Judy,Chu,"Chu, Judy",DEM,0.7104133168
CA,33,0,Karen,Bass,"Bass, Karen",DEM,0.8608062191
CA,34,1,Lucille,Roybal-Allard,"Roybal-Allard, Lucille",DEM,0.7722926569
CA,35,1,Maxine,Waters,"Waters, Maxine",DEM,0.7933367827
CA,36,1,Jane,Harman,"Harman, Jane",DEM,0.5961881949
CA,37,1,Laura,Richardson,"Richardson, Laura",DEM,0.6835593301
CA,38,1,Grace F.,Napolitano,"Napolitano, Grace F.",DEM,0.7345498616
CA,39,1,Linda T.,Sanchez,"Sanchez, Linda T.",DEM,0.6326718931
CA,40,1,Ed,Royce,"Royce, Ed",REP,0.6678873948
CA,41,1,Jerry,Lewis,"Lewis, Jerry",REP,0.6320605479
CA,42,1,Gary G.,Miller,"Miller, Gary G.",REP,0.6221244826
CA,43,1,Joe,Baca,"Baca, Joe",DEM,0.6549627745
CA,44,1,Ken,Calvert,"Calvert, Ken",REP,0.5561350677
CA,45,1,Mary Bono,Mack,"Mack, Mary Bono",REP,0.5148524427
CA,46,1,Dana,Rohrabacher,"Rohrabacher, Dana",REP,0.6220337927
CA,47,1,Loretta,Sanchez,"Sanchez, Loretta",DEM,0.5297538404
CA,48,1,John,Campbell,"Campbell, John",REP,0.5993803534
CA,49,1,Darrell,Issa,"Issa, Darrell",REP,0.6278462861
CA,50,1,Brian P.,Bilbray,"Bilbray, Brian P.",REP,0.5665382884
CA,51,1,Bob,Filner,"Filner, Bob",DEM,0.6005100197
CA,52,1,Duncan D.,Hunter,"Hunter, Duncan D.",REP,0.6308637396
CA,53,1,Susan A.,Davis,"Davis, Susan A.",DEM,0.6225939832
CO,01,1,Diana,DeGette,"DeGette, Diana",DEM,0.6742350217
CO,02,1,Jared,Polis,"Polis, Jared",DEM,0.5741366801
CO,03,0,Scott R.,Tipton,"Tipton, Scott R.",REP,0.4987003017
CO,04,0,Cory,Gardner,"Gardner, Cory",REP,0.5247690031
CO,05,1,Doug,Lamborn,"Lamborn, Doug",REP,0.6575156819
CO,06,1,Mike,Coffman,"Coffman, Mike",REP,0.6567241728
CO,07,1,Ed,Perlmutter,"Perlmutter, Ed",DEM,0.5344480812
CT,01,1,John B.,Larson,"Larson, John B.",DEM,0.6124633911
CT,02,1,Joe,Courtney,"Courtney, Joe",DEM,0.598632951
CT,03,1,Rosa L.,DeLauro,"DeLauro, Rosa L.",DEM,0.6506133843
CT,04,1,Jim,Himes,"Himes, Jim",DEM,0.5306153429
CT,05,1,Chris,Murphy,"Murphy, Chris",DEM,0.5405955927
DE,00,0,"John C., Jr.",Carney,"Carney, John C., Jr.",DEM,0.5678094204
DC,00,1,Eleanor Holmes,Norton,"Norton, Eleanor Holmes",DEM,0.8894433723
FL,01,1,Jeff,Miller,"Miller, Jeff",REP,0.8000009367
FL,02,0,Steve,Southerland,"Southerland, Steve",REP,0.53596947
FL,03,1,Corinne,Brown,"Brown, Corinne",DEM,0.6303617408
FL,04,1,Ander,Crenshaw,"Crenshaw, Ander",REP,0.7721111568
FL,05,0,"Richard B. ""Rich""",Nugent,"Nugent, Richard B. ""Rich""",REP,0.6743080604
FL,06,1,"Clifford B. ""Cliff""",Stearns,"Stearns, Clifford B. ""Cliff""",REP,0.7145919412
FL,07,1,John L.,Mica,"Mica, John L.",REP,0.6903110066
FL,08,0,Daniel,Webster,"Webster, Daniel",REP,0.5611321988
FL,09,1,Gus Michael,Bilirakis,"Bilirakis, Gus Michael",REP,0.714332595
FL,10,1,C.W. Bill,Young,"Young, C.W. Bill",REP,0.6592069045
FL,11,1,Kathy,Castor,"Castor, Kathy",DEM,0.5963498645
FL,12,0,Dennis A.,Ross,"Ross, Dennis A.",REP,0.4814325224
FL,13,1,Vern,Buchanan,"Buchanan, Vern",REP,0.6886009276
FL,14,1,Connie,Mack,"Mack, Connie",REP,0.6856467813
FL,15,1,Bill,Posey,"Posey, Bill",REP,0.6472840106
FL,16,1,Tom,Rooney,"Rooney, Tom",REP,0.6684914917
FL,17,0,Frederica S.,Wilson,"Wilson, Frederica S.",DEM,0.8621301775
FL,18,1,Ileana,Ros-Lehtinen,"Ros-Lehtinen, Ileana",REP,0.6888522494
FL,19,1,Ted,Deutch,"Deutch, Ted",DEM,0.6258818624
FL,20,1,Debbie Wasserman,Schultz,"Schultz, Debbie Wasserman",DEM,0.6014620756
FL,21,0,Mario,Diaz-Balart,"Diaz-Balart, Mario",REP,1
FL,22,0,Allen,West,"West, Allen",REP,0.5436363138
FL,23,1,Alcee L.,Hastings,"Hastings, Alcee L.",DEM,0.7911606578
FL,24,0,"Sandra ""Sandy""",Adams,"Adams, Sandra ""Sandy""",REP,0.596369439
FL,25,0,David,Rivera,"Rivera, David",REP,0.5214729055
GA,01,1,Jack,Kingston,"Kingston, Jack",REP ,0.7162882744
GA,02,1,Sanford,Bishop,"Bishop, Sanford",DEM,0.514409042
GA,03,1,Lynn,Westmoreland,"Westmoreland, Lynn",REP ,0.6947849025
GA,04,1,"Hank, Jr.",Johnson,"Johnson, Hank, Jr.",DEM,0.746655182
GA,05,1,John,Lewis,"Lewis, John",DEM,0.7371987103
GA,06,1,Tom,Price,"Price, Tom",REP ,0.9990518841
GA,07,0,Rob,Woodall,"Woodall, Rob",REP ,0.6707045612
GA,08,0,Austin,Scott,"Scott, Austin",REP ,0.5269715927
GA,09,1,Tom,Graves,"Graves, Tom",REP ,1
GA,10,1,Paul,Broun,"Broun, Paul",REP ,0.6735816009
GA,11,1,Phil,Gingrey,"Gingrey, Phil",REP ,1
GA,12,1,John,Barrow,"Barrow, John",DEM,0.5658549423
GA,13,1,David,Scott,"Scott, David",DEM,0.6943013387
GU,00,1,Madeleine Z.,Bordallo,"Bordallo, Madeleine Z.",DEM,0.9598621095
HI,01,0,Colleen ,Hanabusa,"Hanabusa, Colleen ",DEM,0.5322763947
HI,02,1,Mazie,Hirono,"Hirono, Mazie",DEM,0.7218784446
ID,01,0,Raul R.,Labrador,"Labrador, Raul R.",REP,0.5101747182
ID,02,1,Mike,Simpson,"Simpson, Mike",REP,0.6883139643
IL,01,1,Bobby L.,Rush,"Rush, Bobby L.",DEM,0.8035859555
IL,02,1,"Jesse L., Jr.",Jackson,"Jackson, Jesse L., Jr.",DEM,0.8052139616
IL,03,1,Daniel William,Lipinski,"Lipinski, Daniel William",DEM,0.6968858588
IL,04,1,Luis V.,Gutierrez,"Gutierrez, Luis V.",DEM,0.7735842136
IL,05,1,Mike,Quigley,"Quigley, Mike",DEM,0.7062273927
IL,06,1,Peter J.,Roskam,"Roskam, Peter J.",REP,0.6364500792
IL,07,1,Danny K.,Davis,"Davis, Danny K.",DEM,0.8150493068
IL,08,0,Joe ,Walsh,"Walsh, Joe ",REP,0.4846740929
IL,09,1,Janice D.,Schakowsky,"Schakowsky, Janice D.",DEM,0.6633654427
IL,10,0,Robert,Dold,"Dold, Robert",REP,0.5108022971
IL,11,0,Adam,Kinzinger,"Kinzinger, Adam",REP,0.5734896303
IL,12,1,Jerry F.,Costello,"Costello, Jerry F.",DEM,0.5982684196
IL,13,1,Judy,Biggert,"Biggert, Judy",REP,0.638102788
IL,14,0,"Randall M. ""Randy""",Hultgren,"Hultgren, Randall M. ""Randy""",REP,0.5130700004
IL,15,1,Timothy V.,Johnson,"Johnson, Timothy V.",REP,0.6432071332
IL,16,1,Donald A.,Manzullo,"Manzullo, Donald A.",REP,0.6500204455
IL,17,0,Bobby,Schilling,"Schilling, Bobby",REP,0.5258122254
IL,18,1,Aaron,Schock,"Schock, Aaron",REP,0.6911787313
IL,19,1,John M.,Shimkus,"Shimkus, John M.",REP,0.7122478547
IN,01,1,Peter J. ,Visclosky,"Visclosky, Peter J. ",DEM,0.5856387774
IN,02,1,Joe,Donnelly,"Donnelly, Joe",DEM,0.4817791984
IN,03,0,Marlin A. ,Stutzman,"Stutzman, Marlin A. #",REP,0.6276175499
IN,04,0,Todd,Rokita,"Rokita, Todd",REP,0.6856990342
IN,05,1,Dan,Burton,"Burton, Dan",REP,0.6213817696
IN,06,1,Mike,Pence,"Pence, Mike",REP,0.6657211226
IN,07,1,Andre D.,Carson,"Carson, Andre D.",DEM,0.5889591137
IN,08,0,Larry D. ,Bucshon,"Bucshon, Larry D. ",REP,0.5744204581
IN,09,0,Todd,Young,"Young, Todd",REP,0.5233847082
IA,01,1,Bruce,Braley,"Braley, Bruce",DEM,0.4951494059
IA,02,1,Dave ,Loebsack,"Loebsack, Dave ",DEM,0.5099108617
IA,03,1,Leonard L. ,Boswell,"Boswell, Leonard L. ",DEM,0.5073476881
IA,04,1,Tom ,Latham,"Latham, Tom ",REP,0.656238845
IA,05,1,Steve  ,King,"King, Steve  ",REP,0.6574659776
KS,01,0,Tim ,Huelskamp,"Huelskamp, Tim ",REP ,0.7376429601
KS,02,1,Lynn ,Jenkins,"Jenkins, Lynn ",REP ,0.631309625
KS,03,0,Kevin ,Yoder,"Yoder, Kevin ",REP ,0.5840324067
KS,04,0,Mike ,Pompeo,"Pompeo, Mike ",REP ,0.5879301613
KY,01,1,Edward ,Whitfield,"Whitfield, Edward ",REP,0.7124531098
KY,02,1,S. Brett,Guthrie,"Guthrie, S. Brett",REP,0.6788704796
KY,03,1,John,Yarmuth,"Yarmuth, John",DEM,0.5467901379
KY,04,1,Geoff,Davis,"Davis, Geoff",REP,0.6947740805
KY,05,1,"Harold ""Hal""",Rogers,"Rogers, Harold ""Hal""",REP,0.7742459742
KY,06,1,Ben,Chandler,"Chandler, Ben",DEM,0.5008381301
LA,01,1,"""Steve""",Scalise,"Scalise, ""Steve""",REP,0.7852190073
LA,02,0,Cedric,Richmond,"Richmond, Cedric",DEM,0.6458519799
LA,03,0,"""Jeff"" ",Landry,"Landry, ""Jeff"" ",REP,0.6376692007
LA,04,1,John,Fleming,"Fleming, John",REP,0.6233811628
LA,05,1,Rodney ,Alexander,"Alexander, Rodney ",REP,0.7857280828
LA,06,1,"William ""Bill""",Cassidy,"Cassidy, William ""Bill""",REP,0.6563328661
LA,07,1,"Charles W., Jr.",Boustany,"Boustany, Charles W., Jr.",REP,1
ME,01,1,Chellie,Pingree,"Pingree, Chellie",DEM,0.5681505894
ME,02,1,Michael H.,Michaud,"Michaud, Michael H.",DEM,0.5513158437
MD,01,0,Andy,Harris,"Harris, Andy",REP,0.5408351115
MD,02,1,C.A. Dutch,Ruppersberger,"Ruppersberger, C.A. Dutch",DEM,0.6420796155
MD,03,1,John,Sarbanes,"Sarbanes, John",DEM,0.6107302768
MD,04,1,Donna,Edwards,"Edwards, Donna",DEM,0.8344339131
MD,05,1,Steny H.,Hoyer,"Hoyer, Steny H.",DEM,0.642588749
MD,06,1,Roscoe G.,Bartlett,"Bartlett, Roscoe G.",REP,0.6144787748
MD,07,1,Elijah,Cummings,"Cummings, Elijah",DEM,0.7518122008
MD,08,1,Chris,Van Hollen,"Van Hollen, Chris",DEM,0.7326522533
MA,01,1,John W.,Olver,"Olver, John W.",DEM,0.5999653175
MA,02,1,Richard E.,Neal,"Neal, Richard E.",DEM,0.5732706282
MA,03,1,James P.,McGovern,"McGovern, James P.",DEM,0.5645588722
MA,04,1,Barney,Frank,"Frank, Barney",DEM,0.5389980652
MA,05,1,Nicola S.,Tsongas,"Tsongas, Nicola S.",DEM,0.5484022158
MA,06,1,John F.,Tierney,"Tierney, John F.",DEM,0.568469936
MA,07,1,Edward J.,Markey,"Markey, Edward J.",DEM,0.6641958087
MA,08,1,Michael E.,Capuano,"Capuano, Michael E.",DEM,0.9804881592
MA,09,1,Stephen F.,Lynch,"Lynch, Stephen F.",DEM,0.6830242995
MA,10,0,William R.,Keating,"Keating, William R.",DEM,0.4687302478
MI,01,0,Dan,Benishek,"Benishek, Dan",REP,0.5194128523
MI,02,0,Bill,Huizenga,"Huizenga, Bill",REP,0.6526889924
MI,03,0,Justin,Amash,"Amash, Justin",REP,0.5967696585
MI,04,1,Dave,Camp,"Camp, Dave",REP,0.6620385641
MI,05,1,Dale,Kildee,"Kildee, Dale",DEM,0.5304282049
MI,06,1,Fred,Upton,"Upton, Fred",REP,0.6197507751
MI,07,0,Tim,Walberg,"Walberg, Tim",REP,0.5015531597
MI,08,1,Mike,Rogers,"Rogers, Mike",REP,0.6408119431
MI,09,1,Gary,Peters,"Peters, Gary",DEM,0.4976449634
