state,district,incumbent,first_name,last_name,name,party,result
AL,01,1,Jo,Bonner,"Bonner, Jo",REP,0.6810378616
AL,02,1,Terry,Everett,"Everett, Terry",REP,0.6947389601
AL,03,1,Mike,Rogers,"Rogers, Mike",REP,0.594412617
AL,04,1,Robert B.,Aderholt,"Aderholt, Robert B.",REP,0.7018222339
AL,05,1,Bud,Cramer,"Cramer, Bud",DEM,0.9825495517
AL,06,1,Spencer,Bachus,"Bachus, Spencer",REP,0.9832471437
AL,07,1,Artur,Davis,"Davis, Artur",DEM,0.9904264449
AK,00,1,Don E.,Young,"Young, Don E.",REP,0.5657184257
AZ,01,1,Rick,Renzi,"Renzi, Rick",REP,0.5175199251
AZ,02,1,Trent,Franks,"Franks, Trent",REP,0.5861814712
AZ,03,1,John,Shadegg,"Shadegg, John",REP,0.5926762848
AZ,04,1,Ed,Pastor,"Pastor, Ed",DEM,0.7251897612
AZ,05,0,Harry,Mitchell,"Mitchell, Harry",DEM,0.5041235582
AZ,06,1,Jeff,Flake,"Flake, Jeff",REP,0.7479679192
AZ,07,1,Raul,Grijalva,"Grijalva, Raul",DEM,0.6109408858
AZ,08,0,Gabrielle,Giffords,"Giffords, Gabrielle",DEM,0.5425469021
AR,01,1,Marion,Berry,"Berry, Marion",DEM,0.6926455578
AR,02,1,Vic,Snyder,"Snyder, Vic",DEM,0.605279613
AR,03,1,John,Boozman,"Boozman, John",REP,0.6223198821
AR,04,1,Mike,Ross,"Ross, Mike",DEM,0.7473134572
CA,01,1,Mike ,Thompson,"Thompson, Mike ",DEM,0.6622929317
CA,02,1,Wally ,Herger,"Herger, Wally ",REP,0.6418159675
CA,03,1,Dan,Lungren,"Lungren, Dan",REP,0.5947740491
CA,04,1,John T.,Doolittle,"Doolittle, John T.",REP,0.4905071634
CA,05,1,Doris O.,Matsui,"Matsui, Doris O.",DEM,0.7079710048
CA,06,1,Lynn ,Woolsey,"Woolsey, Lynn ",DEM,0.7022317012
CA,07,1,George ,Miller,"Miller, George ",DEM,0.8399413465
CA,08,1,Nancy ,Pelosi,"Pelosi, Nancy ",DEM,0.8039200819
CA,09,1,Barbara ,Lee,"Lee, Barbara ",DEM,0.8634852287
CA,10,1,Ellen O.,Tauscher,"Tauscher, Ellen O.",DEM,0.6643330727
CA,11,0,Jerry ,McNerney,"McNerney, Jerry ",DEM,0.5326571772
CA,12,1,Tom ,Lantos,"Lantos, Tom ",DEM,0.7604594019
CA,13,1,Fortney Pete,Stark,"Stark, Fortney Pete",DEM,0.7488725261
CA,14,1,Anna G.,Eshoo,"Eshoo, Anna G.",DEM,0.7108296613
CA,15,1,Mike ,Honda,"Honda, Mike ",DEM,0.7233499042
CA,16,1,Zoe ,Lofgren,"Lofgren, Zoe ",DEM,0.727103683
CA,17,1,Sam ,Farr,"Farr, Sam ",DEM,0.7580370763
CA,18,1,Dennis A.,Cardoza,"Cardoza, Dennis A.",DEM,0.6547698987
CA,19,1,George P.,Radanovich,"Radanovich, George P.",REP,0.6057672231
CA,20,1,Jim ,Costa,"Costa, Jim ",DEM,1
CA,21,1,Devin G.,Nunes,"Nunes, Devin G.",REP,0.6674143599
CA,22,0,Kevin ,McCarthy,"McCarthy, Kevin ",REP,0.7070300895
CA,23,1,Lois ,Capps,"Capps, Lois ",DEM,0.6516643838
CA,24,1,Elton ,Gallegy,"Gallegy, Elton ",REP,0.6202434876
CA,25,1,"Howard P. ""Buck""",McKeon,"McKeon, Howard P. ""Buck""",REP,0.5995101197
CA,26,1,David ,Dreier,"Dreier, David ",REP,0.5695306569
CA,27,1,Brad ,Sherman,"Sherman, Brad ",DEM,0.6877022654
CA,28,1,Howard L.,Berman,"Berman, Howard L.",DEM,0.7392125285
CA,29,1,Adam,Schiff,"Schiff, Adam",DEM,0.634668489
CA,30,1,Henry A.,Waxman,"Waxman, Henry A.",DEM,0.7145002692
CA,31,1,Xavier ,Becerra,"Becerra, Xavier ",DEM,1
CA,32,1,Hilda L.,Solis,"Solis, Hilda L.",DEM,0.8295595838
CA,33,1,Diane E.,Watson,"Watson, Diane E.",DEM,1
CA,34,1,Lucille ,Roybal-Allard,"Roybal-Allard, Lucille ",DEM,0.7679733757
CA,35,1,Maxine ,Waters,"Waters, Maxine ",DEM,0.8374921325
