state,district,incumbent,first_name,last_name,name,party,result
AL,01,1,Jo,Bonner,"Bonner, Jo",R,0.631229327
AL,02,1,Terry,Everett,"Everett, Terry",R,0.714209085
AL,03,1,Mike,Rogers,"Rogers, Mike",R,0.6119641637
AL,04,1,Robert,Aderholt,"Aderholt, Robert",R,0.7473291517
AL,05,1,Bud,Cramer,"Cramer, Bud",D,0.7296875397
AL,06,1,Spencer,Bachus,"Bachus, Spencer",R,0.9879720791
AL,07,1,Artur,Davis,"Davis, Artur",D,0.7497118191
AK,00,1,Don E.,Young,"Young, Don E.",R,0.7107294764
AZ,01,1,Rick,Renzi,"Renzi, Rick",R,0.5854131225
AZ,02,1,Trent,Franks,"Franks, Trent",R,0.5916871641
AZ,03,1,John,Shadegg,"Shadegg, John",R,0.801030207
AZ,04,1,Ed,Pastor,"Pastor, Ed",D,0.7011915257
AZ,05,1,J. D.,Hayworth,"Hayworth, J. D.",R,0.5949658031
AZ,06,1,Jeff,Flake,"Flake, Jeff",R,0.7938194751
AZ,07,1,Raúl,Grijalva,"Grijalva, Raúl",D,0.620553247
AZ,08,1,Jim,Kolbe,"Kolbe, Jim",R,0.6036264398
AR,01,1,Marion,Berry,"Berry, Marion",D,0.6656773686
AR,02,1,Vic,Synder,"Synder, Vic",D,0.5816928458
AR,03,1,John,Boozman,"Boozman, John",R,0.593158126
AR,04,1,Mike,Ross,"Ross, Mike",D,1
CA,01,1,Mike,Thompson,"Thompson, Mike",D,0.6692063851
CA,02,1,Wally,Herger,"Herger, Wally",R,0.6685007837
CA,03,0,Dan,Lungren,"Lungren, Dan",R,0.619138686
CA,04,1,John T.,Doolittle,"Doolittle, John T.",R,0.6539371598
CA,05 ,1,Robert T.,Matsui,"Matsui, Robert T.",D,0.7136157032
CA,06 ,1,Lynn,Woolsey,"Woolsey, Lynn",D,0.7264901321
CA,07,1,George,Miller,"Miller, George",D,0.7608230685
CA,08,1,Nancy,Pelosi,"Pelosi, Nancy",D,0.8294959713
CA,09,1,Barbara,Lee,"Lee, Barbara",D,0.8454785347
CA,10,1,Ellen O.,Tauscher,"Tauscher, Ellen O.",D,0.6571400832
CA,11,1,Richard ,Pombo,"Pombo, Richard ",R,0.6122791192
